entrepot,stockFixe,coutStockFixe,coutStockVariable,coutManutTrain,coutManutCamion,totalCostStockSite,Unnamed:7,Unnamed:8,Unnamed:9,Unnamed:10,storagecout/jour
Amberieu,36756,1.575,1.575,2.34,2.34,,,,,,0.225
Bretigny,25000,1.54,1.54,2.347,2.347,,,,,,0.22
StQuentinChesnes,4000,1.05,1.05,,2.4,,,,,,0.15
StQuentinTotem,10000,1.05,1.05,,2.4,,,,,,0.15
Cavaillon,3000,0.98,0.98,,2.3,,,,,,0.14
Monteux,3000,0.98,0.98,,2.3,,,,,,0.14
Rennes,2000,1.001,1.001,,2.4,,,,,,0.14300000000000002
Corbas,2000,0.7000000000000001,0.7000000000000001,,2.3,,,,,,0.1
Grisolles,700,1.05,1.05,,2.0,,,,,,0.15
Rumilly,2000,0.7000000000000001,0.7000000000000001,,2.3,,,,,,0.1
Macon,3000,0.63,0.63,,2.15,,,,,,0.09
